ID	Cluster	Log price (1 billion VND)	Log area (square meters)	Log usable area (square meters)	Rooms	Bedrooms	WC	Number of floors	Parking	For rent	Facade	Infrastructure	Features	Latitude	Longitude	Distance to center	Log usable area cat
1643	4	2.4423470353692043	4.430816798843313	5.654592230465429	11.0	6.0	5.0	3.0	1	0	1	1	3	11.9526152	108.4356695	62.17340786927538	3
1644	1	1.824549292051046	4.248495242049359	5.3471075307174685	7.0	4.0	3.0	3.0	1	0	1	0	2	10.8170671	106.7740036	10.149097015317269	3
1645	2	3.258096538021482	5.438079308923196	6.131226489483141	10.0	5.0	5.0	2.0	0	1	1	0	2	16.049809	108.245884	18.780410724763303	3
1646	1	1.9459101490553132	4.276666119016055	5.375278407684165	8.0	4.0	4.0	3.0	0	0	1	1	2	10.9012444	106.8526661	21.35556625653609	3
1647	1	1.0986122886681098	5.075173815233827	5.768320995793772	4.0	2.0	2.0	2.0	0	0	1	0	1	11.1324711	106.6087061	36.90558858119057	3
1648	0	2.4849066497880004	3.8501476017100584	4.948759890378168	5.0	3.0	2.0	3.0	0	0	1	0	1	20.8383154	106.6951069	3.104290228355882	2
1649	0	1.824549292051046	4.0943445622221	5.552959584921617	7.0	3.0	4.0	4.0	1	0	0	1	2	20.8392424	106.6873581	2.3101388954769666	3
1650	3	1.3029127521808397	3.6375861597263857	5.247024072160486	8.0	4.0	4.0	5.0	0	0	0	1	1	21.0023752	105.8297135	2.6509892150489542	3
1651	1	0.8329091229351039	4.127134385045092	4.820281565605037	6.0	3.0	3.0	2.0	0	0	0	1	1	10.9675976	106.7121399	18.01990935338285	2
1652	1	2.0794415416798357	4.6443908991413725	5.432848259505643	8.0	4.0	4.0	2.0	1	0	0	1	2	10.8651528	106.7201638	7.596641569783599	3
1653	0	1.1151415906193203	4.02535169073515	4.900820428089049	8.0	4.0	4.0	2.0	0	0	1	0	1	20.865888	106.6659746	2.128317767151651	2
1654	1	0.8544153281560676	3.7376696182833684	4.900820428089049	7.0	4.0	3.0	3.0	1	0	0	1	2	10.8056291	106.6963039	1.6446147093258137	2
1655	1	3.5553480614894135	5.298317366548036	6.907755278982137	12.0	7.0	5.0	5.0	0	0	1	1	2	10.7269577	106.6107682	11.900983623505079	4
1656	4	2.1400661634962708	5.356586274672012	6.049733455231958	7.0	4.0	3.0	2.0	0	0	0	0	0	11.9486877	108.4789512	58.54422107318033	3
1657	1	0.9745596399981308	4.04305126783455	5.14166355650266	7.0	4.0	3.0	3.0	0	0	0	1	1	10.7926802	106.6769156	1.813893746056314	3
1658	4	1.0818051703517284	3.8918202981106265	4.767289035464526	5.0	3.0	2.0	2.0	1	0	0	1	2	11.5700289	108.9953553	77.00386210157039	2
1659	1	1.5040773967762742	3.6888794541139363	5.298317366548036	12.0	8.0	4.0	5.0	0	0	1	0	1	10.7794704	106.678543	3.2283711882507764	3
1660	1	1.4350845252893227	4.0943445622221	4.787491742782046	5.0	3.0	2.0	2.0	0	1	0	1	2	10.8136383	106.6973519	1.827718041023521	2
1661	3	1.1314021114911006	3.713572066704308	3.713572066704308	8.0	4.0	4.0	1.0	1	0	1	1	3	20.9722357	105.8845411	9.163232800854196	1
1662	3	1.7578579175523736	3.6888794541139363	5.298317366548036	7.0	3.0	4.0	5.0	1	0	1	1	3	20.9684049	105.786636	6.369949036779674	3
1663	2	1.7749523509116738	4.867534450455582	5.560681631015528	5.0	3.0	2.0	2.0	1	0	1	1	3	16.0613377	108.2343094	17.11988846181723	3
1664	1	1.0473189942805592	2.995732273553991	2.995732273553991	8.0	4.0	4.0	1.0	1	0	0	1	2	10.8116935	106.6983843	1.8805407630647826	1
1665	1	1.682688374173693	4.356708826689592	5.049856007249537	7.0	3.0	4.0	2.0	0	0	0	1	1	10.812176	106.771967	9.889545310561147	3
1666	1	1.9459101490553132	4.553876891600541	4.553876891600541	8.0	4.0	4.0	1.0	0	0	0	0	0	11.0777671	106.6839398	29.958185343737917	2
1667	1	1.4350845252893227	4.983606621708336	4.983606621708336	5.0	3.0	2.0	1.0	0	0	1	1	2	10.8645529	106.6339755	8.123411249800727	2
1668	0	2.1400661634962708	4.1588830833596715	5.322033893165353	11.0	5.0	6.0	3.0	1	0	1	1	3	20.8560148	106.6862259	2.281364841783155	3
1669	3	1.2947271675944	3.4657359027997265	3.4657359027997265	8.0	4.0	4.0	1.0	0	0	1	1	2	20.9792129	105.8016624	4.704605203219061	1
1670	1	0.47000362924573563	2.70805020110221	3.295836866004329	2.0	1.0	1.0	1.0	0	1	0	1	2	10.8391626	106.6757335	3.482874367765309	1
1671	3	2.1972245773362196	3.6888794541139363	5.298317366548036	6.0	3.0	3.0	5.0	1	0	0	1	2	21.0309047	105.7839531	3.219613335289205	3
1672	4	2.302585092994046	4.51085950651685	5.466370951544286	5.0	3.0	2.0	2.0	0	0	0	1	1	11.9381877	108.4377426	62.879152147681545	3
1673	2	1.9878743481543455	5.10594547390058	5.799092654460526	6.0	4.0	2.0	2.0	1	0	1	1	3	16.0583916	108.2401598	17.824093285459192	3
1674	1	1.4350845252893227	4.787491742782046	6.173786103901937	12.0	7.0	5.0	4.0	0	0	0	1	1	10.8134766	106.6898328	1.0730009089068846	3
1675	3	1.6956156086751528	3.7612001156935624	5.147494476813453	7.0	4.0	3.0	4.0	1	0	1	0	2	21.0244049	105.7963637	1.766793722649123	3
1676	3	1.3737155789130306	3.5553480614894135	5.1647859739235145	11.0	6.0	5.0	5.0	0	0	1	1	2	20.9836913	105.8218269	4.169654135570957	3
