ID	Log price (1 billion VND)	Log area (square meters)	(Log) Bedrooms	(Log) WC	Parking	For rent	Infrastructure	Facade	(Log) Number of floors	Latitude	Longitude	Cluster	Distance_to_center_0	Distance_to_center_1
1836	2.5257286443082556	4.174387269895637	1.3862943611198906	1.3862943611198906	1	0	1	1	1.6094379124341003	10.831018	106.7284253	1	1053.4278150203481	4.022281859999461
2052	1.4350845252893227	4.30406509320417	1.3862943611198906	1.3862943611198906	0	0	1	0	0.1823215567939546	10.7483252	106.7288718	1	1062.6131510914324	12.189575455250111
760	2.066862759472976	3.6888794541139363	1.6094379124341003	1.791759469228055	0	0	0	0	1.3862943611198906	10.8027356	106.6857185	1	1056.3378156353126	9.63213345953892
1792	2.1400661634962708	3.6888794541139363	1.3862943611198906	1.3862943611198906	1	0	1	0	1.6094379124341003	20.9862241	105.7796878	0	89.20894084772395	1131.4054794140375
1815	1.9021075263969205	3.912023005428146	1.0986122886681098	0.6931471805599453	0	0	1	1	1.0986122886681098	20.8319364	106.6890772	0	78.19978657837784	1109.4578812220552
611	0.9745596399981308	4.0943445622221	1.3862943611198906	1.0986122886681098	0	0	1	1	1.0986122886681098	10.7463927	106.6209804	1	1062.2855803625039	19.063270877291213
935	0.9820784724121582	4.248495242049359	1.0986122886681098	1.0986122886681098	0	0	1	0	0.6931471805599453	16.4857319	107.602883	0	448.0196159022169	632.7960980295268
2515	1.916922612182061	4.727387818712341	1.0986122886681098	1.0986122886681098	1	0	0	1	1.0986122886681098	10.8775072	106.7449256	1	1048.36051048193	2.841390582139479
1791	1.1786549963416462	3.5263605246161616	1.3862943611198906	1.3862943611198906	0	0	0	0	0.0	21.0243907	105.854995	0	89.40781469028695	1134.9206260252658
240	2.5649493574615367	5.187385805840755	1.0986122886681098	1.3862943611198906	1	0	0	1	0.0	11.9381945	108.4560085	1	959.3086226689171	220.9983070516318
2848	2.9391619220655967	4.5217885770490405	2.0794415416798357	2.0794415416798357	0	0	0	0	1.6094379124341003	10.8065041	106.6866516	1	1055.924078012961	9.303775178115487
250	1.9315214116032138	4.290459441148391	1.0986122886681098	1.0986122886681098	0	0	1	1	1.0986122886681098	10.8253029	106.6880405	1	1053.8433250634264	8.14227557559022
1629	1.2237754316221157	4.04305126783455	1.3862943611198906	1.3862943611198906	1	0	1	0	0.6931471805599453	10.7796721	106.6445135	1	1058.6960972259203	14.78651788306117
246	1.791759469228055	4.499809670330265	1.791759469228055	1.3862943611198906	1	1	1	0	1.3862943611198906	20.9821884	105.8866703	0	83.78366361536554	1129.9629961244696
41	2.2512917986064953	3.6888794541139363	1.6094379124341003	1.791759469228055	1	0	0	0	1.9459101490553132	10.8256869	106.7042991	1	1053.8867745990087	6.532032056054039
1396	2.3978952727983707	4.74493212836325	2.4849066497880004	2.4849066497880004	1	0	1	0	1.6094379124341003	10.8540862	106.7549139	1	1051.0199504539696	0.16915370673125085
734	0.8544153281560676	3.871201010907891	1.3862943611198906	1.0986122886681098	0	0	1	0	1.0986122886681098	10.7119521	106.620284	1	1066.1089629619344	21.736666323975168
1798	1.1314021114911006	3.912023005428146	1.3862943611198906	1.0986122886681098	0	0	1	0	1.6094379124341003	20.9378573	105.7860509	0	84.25083454459114	1125.9889321938447
2121	1.2809338454620642	3.6888794541139363	1.3862943611198906	1.3862943611198906	1	0	0	1	1.0986122886681098	10.7769354	106.6388996	1	1058.9738347137009	15.46489270942428
934	1.2237754316221157	3.2188758248682006	0.6931471805599453	0.6931471805599453	1	1	0	0	0.6931471805599453	10.7957931	106.7162257	1	1057.2715733783689	7.870511868175568
1196	1.4350845252893227	3.9318256327243257	0.6931471805599453	0.6931471805599453	0	1	1	0	0.6931471805599453	10.8158845	106.8075043	1	1055.5880935057871	7.0476328316221615
1811	2.3513752571634776	4.382026634673881	1.3862943611198906	1.3862943611198906	0	0	1	1	1.3862943611198906	10.7515197	106.5949463	1	1061.6038177378684	21.028785207952286
2213	2.468099531471619	4.927253685157205	1.0986122886681098	0.6931471805599453	0	1	1	1	0.6931471805599453	20.8377764	106.6845496	0	78.40045177490688	1110.1104826398553
2766	2.028148247292285	3.6888794541139363	0.6931471805599453	1.3862943611198906	0	0	1	0	0.6931471805599453	10.7717523	106.6360821	1	1059.5365894997499	16.044934422554398
442	1.5260563034950492	3.4339872044851463	1.3862943611198906	1.3862943611198906	1	0	1	1	1.6094379124341003	20.9586775	105.7688614	0	87.15818948521651	1128.4636614852323
2413	3.1570004211501135	4.330733340286331	1.5260563034950492	1.6094379124341003	1	0	1	1	1.6094379124341003	21.0467846	105.8782157	0	90.740184700065	1137.1942784033404
586	1.220829921392359	4.605170185988092	1.0986122886681098	1.0986122886681098	0	0	1	0	0.6931471805599453	10.7771735	106.6841937	1	1059.1691662878184	11.671461567102856
2667	2.468099531471619	4.852030263919617	0.0	0.0	1	0	0	0	0.0	10.7497134	106.628909	1	1061.9522346451238	18.160235899173763
476	1.4350845252893227	4.0943445622221	1.3862943611198906	1.0986122886681098	0	0	1	0	1.3862943611198906	20.8450014	106.6997786	0	80.02773504364927	1110.9038053738182
2138	2.4423470353692043	4.8283137373023015	2.833213344056216	2.833213344056216	0	0	0	1	2.468099531471619	16.0904103	108.1521221	0	510.24760643262147	601.4298236801455
1839	1.5040773967762742	3.8066624897703196	1.3862943611198906	1.3862943611198906	0	0	0	0	0.9555114450274363	10.8053797	106.7115089	1	1056.1811128311285	7.343840675896071
2845	2.1400661634962708	4.248495242049359	1.3862943611198906	1.3862943611198906	0	0	1	0	1.1631508098056809	10.7867236	106.6140965	1	1057.7742438609787	17.274532762242302
2624	1.7047480922384253	4.382026634673881	1.0986122886681098	1.3862943611198906	1	0	1	0	1.0986122886681098	10.796321	106.6313205	1	1056.7851935528633	15.116617894497233
2511	1.6094379124341003	3.5263605246161616	1.3862943611198906	1.3862943611198906	1	0	1	1	1.9459101490553132	21.0336328	105.9176096	0	87.89506084393176	1135.3978125097137
553	2.3702437414678603	4.276666119016055	1.3862943611198906	1.6094379124341003	1	0	0	1	1.6094379124341003	10.769422	106.658488	1	1059.901657487045	14.281432120259133
1406	1.8870696490323797	4.007333185232471	0.6931471805599453	0.6931471805599453	0	0	1	0	0.6931471805599453	10.8102194	106.6898971	1	1055.5283035007687	8.777322300269248
1763	1.9878743481543455	3.871201010907891	2.302585092994046	1.3862943611198906	1	0	1	1	1.6094379124341003	20.9833012	105.7824732	0	88.78279614296393	1131.0545567873817
2093	0.9282193027394288	4.127134385045092	0.6931471805599453	1.0986122886681098	0	0	1	1	0.6931471805599453	11.0382364	106.7491573	1	1030.5396417805275	20.43856821357733
46	3.258096538021482	5.598421958998375	1.3862943611198906	1.3862943611198906	0	0	0	1	1.0986122886681098	10.8720024	106.6201593	1	1048.3264267584696	15.00190151010894
2830	0.9042181506398859	4.110873864173311	0.6931471805599453	1.0986122886681098	0	0	1	0	0.6931471805599453	11.038841	106.749456	1	1030.4743071327373	20.504518024653024
1801	1.8718021769015913	3.58351893845611	1.3862943611198906	1.3862943611198906	0	0	1	1	1.6094379124341003	21.0068271	105.8152396	0	89.4471224567525	1133.3434115732
1208	2.0149030205422647	4.1588830833596715	1.0986122886681098	1.3862943611198906	1	0	1	1	1.0986122886681098	10.7981329	106.6221455	1	1056.542328501438	15.947415422656979
1922	1.423108334242607	3.912023005428146	0.6931471805599453	0.6931471805599453	0	0	0	0	0.6931471805599453	10.78204	106.7794935	1	1059.1677395725987	8.450193330906213
1243	2.2512917986064953	5.247024072160486	1.0986122886681098	0.6931471805599453	0	0	0	1	0.0	10.8671531	106.6413322	1	1048.9627112402225	12.641772480505056
450	2.6390573296152584	4.382026634673881	0.0	0.0	0	1	1	1	0.47000362924573563	10.8290901	106.6827916	1	1053.395491908609	8.521644391202953
2745	1.252762968495368	4.007333185232471	1.3862943611198906	1.3862943611198906	0	0	0	0	0.0	21.0759575	105.9295984	0	91.92535774579702	1139.9889119334273
2671	1.916922612182061	4.356708826689592	1.3862943611198906	1.3862943611198906	1	0	1	0	1.0986122886681098	10.7872299	106.6013292	1	1057.6628347670646	18.516120741243995
1681	1.410986973710262	4.127134385045092	1.3862943611198906	0.6931471805599453	0	0	0	0	0.6931471805599453	10.8395323	106.7294635	1	1052.4882093487197	3.3819369745860115
2801	1.3737155789130306	3.6375861597263857	0.6931471805599453	1.0986122886681098	1	0	1	1	1.3862943611198906	10.806108	106.628652	1	1055.6856916592296	14.954612780389647
254	2.302585092994046	4.31748811353631	1.791759469228055	2.0794415416798357	0	0	0	0	1.6094379124341003	10.8105831	106.7091422	1	1055.5903652264644	7.108999261194153
2420	1.5040773967762742	4.5217885770490405	1.0986122886681098	1.0986122886681098	0	0	1	1	0.0	10.8773296	106.74114	1	1048.3581470270929	3.0296153620770587
190	2.2512917986064953	4.060443010546419	1.6094379124341003	1.7227665977411035	1	0	1	0	1.9459101490553132	21.0371784	105.8730678	0	89.9592623095089	1136.1754330170056
