ID	Log price (1 billion VND)	Log area (square meters)	(Log) Bedrooms	(Log) WC	Parking	For rent	Infrastructure	Facade	(Log) Number of floors	Latitude	Longitude	Cluster	Distance to center 0	Distance to center 1
4940	1.7227665977411035	3.5553480614894135	1.3862943611198906	1.3862943611198906	1	0	1	0	1.0986122886681098	10.7793626	106.6674641	0	27.243228321894087	1124.6472647432229
4941	1.1474024528375417	3.4011973816621555	1.3862943611198906	1.3862943611198906	0	0	1	1	1.6094379124341003	20.9995544	105.8113326	1	1115.786032597314	18.870798468722285
4942	1.824549292051046	3.7612001156935624	1.3862943611198906	1.791759469228055	1	0	1	0	0.0	21.0221606	105.771796	1	1118.67894829155	23.472570230288685
4943	1.6486586255873816	4.927253685157205	1.6094379124341003	1.3862943611198906	1	0	1	0	1.4816045409242156	10.8017818	106.6830914	0	24.30121932106353	1122.2791778142941
4944	1.0473189942805592	3.6888794541139363	1.0986122886681098	0.6931471805599453	1	0	1	0	0.6931471805599453	10.7583621	106.7647475	0	27.59854669734609	1127.7540364872416
4945	0.8754687373538999	3.784189633918261	1.3862943611198906	1.3862943611198906	0	0	1	0	1.3862943611198906	10.8501221	106.6524088	0	21.043226669434315	1116.6851943629622
4946	2.740840023925201	4.31748811353631	1.3862943611198906	1.6863989535702288	1	0	1	0	1.6486586255873816	20.988178	105.7931515	1	1114.7046610572067	19.227227489067623
4947	2.747270914255491	4.31748811353631	1.6094379124341003	1.6094379124341003	1	0	0	1	1.9459101490553132	21.0438304	105.8723803	1	1120.1177424904704	20.298447846881736
4948	1.547562508716013	4.0943445622221	1.0986122886681098	1.0986122886681098	1	0	1	1	1.0986122886681098	10.7900436	106.6222343	0	28.438896581170205	1123.1325640515179
4949	1.6094379124341003	4.04305126783455	1.3862943611198906	0.0	0	0	1	0	0.6931471805599453	10.8596614	106.7057733	0	17.405528344631602	1116.0372440714507
4950	1.2809338454620642	4.0943445622221	1.0986122886681098	0.6931471805599453	1	0	1	0	0.6931471805599453	10.7583621	106.7647475	0	27.59854669734609	1127.7540364872416
4951	1.7227665977411035	4.204692619390966	1.3862943611198906	1.3862943611198906	0	0	1	0	1.2809338454620642	10.8627244	106.7549835	0	16.00388598393762	1116.1017072409838
4952	1.1631508098056809	3.9512437185814275	1.0986122886681098	0.6931471805599453	1	1	1	0	0.8754687373538999	10.8276733	106.805864	0	20.484952070649438	1120.429784352315
4953	1.4350845252893227	3.4011973816621555	1.3862943611198906	1.0986122886681098	1	0	1	0	1.6094379124341003	20.9675124	105.7784606	1	1112.5638869525485	18.934293524521863
4954	2.3513752571634776	4.174387269895637	1.3862943611198906	1.3862943611198906	0	0	0	0	1.0986122886681098	21.0002252	105.8309453	1	1115.6721703963049	17.708739898519646
4955	2.2669579153508947	4.143134726391533	1.3862943611198906	1.3862943611198906	1	0	1	0	0.1823215567939546	20.9823818	105.7780339	1	1114.2138124533828	19.974885474076494
4956	0.5766133643039938	3.091042453358316	1.0986122886681098	1.0986122886681098	1	0	1	0	1.2809338454620642	20.9857869	105.819126	1	1114.186514997288	17.178181042013996
4957	1.0647107369924282	3.6888794541139363	1.0986122886681098	0.6931471805599453	0	0	1	0	0.6931471805599453	10.7597516	106.590819	0	33.13559308313445	1126.2775490347997
4958	2.186051276738094	4.31748811353631	1.3862943611198906	1.3862943611198906	1	0	1	1	1.3862943611198906	21.02694	105.8964945	1	1118.0315158749313	17.897188751033323
4959	2.5257286443082556	4.672828834461906	1.3862943611198906	1.6094379124341003	1	0	1	0	1.3862943611198906	10.8412988	106.6572124	0	21.58148295927636	1117.6997291937168
4960	1.7047480922384253	3.970291913552122	1.3862943611198906	1.3862943611198906	0	0	1	1	1.3862943611198906	20.9995544	105.8113326	1	1115.786032597314	18.870798468722285
4961	1.7578579175523736	4.1588830833596715	1.6094379124341003	1.6094379124341003	0	0	1	0	1.0986122886681098	10.8386609	106.6690736	0	21.189124810149533	1118.0814677678882
4962	1.916922612182061	4.276666119016055	1.3862943611198906	1.0986122886681098	0	0	1	0	1.2809338454620642	10.8283702	106.6897365	0	21.280459514603965	1119.3814664241204
4963	2.2925347571405443	4.174387269895637	1.6863989535702288	1.6094379124341003	1	0	0	0	1.6094379124341003	21.0464835	105.8773208	1	1120.3671501728463	20.447165637108814
4964	1.589235205116581	3.9889840465642745	1.0986122886681098	0.6931471805599453	0	0	0	1	0.6931471805599453	10.8228086	106.7802545	0	20.538106780360323	1120.743132968192
4965	1.8373699804801074	4.189654742026425	1.6094379124341003	1.3862943611198906	0	0	1	0	1.6094379124341003	10.7480929	106.6352362	0	31.84590272977678	1127.8798842599933
4966	2.0918640616783932	4.0943445622221	1.3862943611198906	1.3862943611198906	0	0	0	1	1.3862943611198906	10.737173	106.6388161	0	32.78496021235295	1129.117205685426
4967	1.9315214116032138	4.219507705176107	1.0986122886681098	1.0986122886681098	1	0	0	1	1.0986122886681098	10.764592	106.6189401	0	31.049607876220904	1125.9335875497736
4968	1.9459101490553132	4.290459441148391	1.0986122886681098	1.0986122886681098	0	0	0	0	0.6931471805599453	10.8075999	106.5885983	0	29.039404026159616	1120.9522169692505
4969	1.7227665977411035	3.6375861597263857	1.4350845252893227	1.6094379124341003	1	0	1	0	1.6094379124341003	20.9786876	105.771796	1	1113.8678579736122	20.22873989916673
4970	1.1474024528375417	3.6888794541139363	1.0986122886681098	1.0986122886681098	1	0	0	0	1.0986122886681098	21.0367247	105.8351677	1	1119.6739522054322	20.986137378312975
4971	2.5649493574615367	4.406719247264253	1.3862943611198906	1.3862943611198906	1	0	1	1	1.3862943611198906	21.0505378	105.8886604	1	1120.7151492563144	20.625982903642143
4972	0.8754687373538999	3.2188758248682006	0.6931471805599453	1.0986122886681098	1	0	1	0	1.0986122886681098	22.320739	105.8172881	1	1262.0768667911914	161.87926649165559
4973	0.3920420877760237	2.995732273553991	1.0986122886681098	1.3862943611198906	1	0	1	0	0.9555114450274363	10.8109464	106.7019597	0	22.680778507849897	1121.4096263235353
4974	1.840549633397487	4.060443010546419	1.0986122886681098	0.6931471805599453	0	0	1	0	0.5877866649021191	10.8454196	106.7584063	0	17.917090398147046	1118.049116832094
4975	1.1151415906193203	3.970291913552122	0.6931471805599453	0.0	0	0	1	0	0.6931471805599453	10.8398715	106.7953202	0	18.908868359208164	1118.9840667463031
