ID	Log price (1 billion VND)	Log area (square meters)	Bedrooms	WC	Parking	For rent	Infrastructure	Facade	Number of floors	Log usable area (square meters)	Latitude	Longitude	Cluster	Distance to center 0	Distance to center 1
660	1.5260563034950492	3.58351893845611	4.0	3.0	0	0	1	0	4.0	4.969813299576001	21.0012748	105.8393044	0	87.77462368918573	1132.5036291087847
661	2.468099531471619	3.912023005428146	6.0	4.4	1	0	1	1	6.0	5.703782474656201	21.0113334	105.8216962	0	89.58896182932428	1133.7815416685532
662	1.8946168546677629	4.07753744390572	2.0	2.0	1	0	1	0	2.0	4.770684624465665	10.8386609	106.6690736	1	1052.2627223746201	9.697660641487898
663	1.1314021114911006	3.912023005428146	4.0	3.0	0	0	1	0	3.0	5.0106352940962555	10.7404473	106.7362074	1	1063.5293610230733	12.879300719385677
664	1.1314021114911006	3.4011973816621555	2.0	2.0	1	0	1	0	2.0	4.0943445622221	10.7740027	106.6485473	1	1059.34501187042	14.797598260127966
665	2.468099531471619	4.2626798770413155	5.0	5.0	1	0	1	0	5.0	5.872117789475416	10.7794947	106.6498878	1	1058.7412946655888	14.316801376721221
666	1.2947271675944	3.6888794541139363	2.0	2.0	0	0	0	0	2.0	4.382026634673881	10.7939098	106.6150308	1	1056.9799277519996	16.847116595391626
667	2.2082744135228043	4.787491742782046	5.0	5.0	0	0	1	0	3.0	5.886104031450156	10.8056793	106.7095185	1	1056.1370125179233	7.46637181200965
668	0.7654678421395714	3.871201010907891	4.0	3.0	1	0	1	0	3.0	4.969813299576001	10.7345377	106.6390399	1	1063.684641701724	18.50429447967938
669	0.7654678421395714	3.871201010907891	4.0	3.0	0	0	1	0	3.0	4.969813299576001	10.763793	106.5996546	1	1060.2598459319609	19.87245198527898
670	0.9745596399981308	4.0943445622221	4.0	3.0	0	0	1	1	2.8	5.123963979403259	10.7694172	106.6061585	1	1059.6626406632229	18.9435960059132
671	1.7404661748405046	4.553876891600541	5.0	4.0	0	0	1	1	3.0	5.652489180268651	10.9564946	106.8004548	1	1039.934849520698	12.313225448570392
672	1.9600947840472698	3.784189633918261	4.0	3.0	1	0	1	1	4.0	5.170483995038151	21.0596756	105.8040796	0	95.21511129625434	1139.3012115256822
673	0.7793248768009977	4.430816798843313	4.0	4.0	0	0	1	0	1.0	4.430816798843313	21.7150387	104.9056932	0	208.1905371941459	1223.6194996510128
674	0.47000362924573563	3.4011973816621555	2.0	2.0	1	0	0	0	2.0	4.0943445622221	10.7381265	106.6626058	1	1063.3981686566983	16.50928591878911
675	1.824549292051046	3.871201010907891	4.0	4.4	1	0	0	0	4.0	5.2574953720277815	20.9968809	105.8179701	0	88.33465673044589	1132.216224469008
676	2.1400661634962708	4.406719247264253	4.0	5.0	1	0	1	0	4.0	5.793013608384144	10.8066884	106.6352994	1	1055.6517297289654	14.255539170066491
677	0.9360933591703348	4.0943445622221	4.0	3.0	0	0	1	0	3.0	5.19295685089021	10.7615937	106.62208	1	1060.6016078855362	17.94586824305271
678	0.9745596399981308	4.0943445622221	4.0	3.0	0	0	1	1	2.0	4.787491742782046	10.75111	106.6144894	1	1061.7328339287433	19.301157851316884
679	0.7654678421395714	3.871201010907891	4.0	3.0	0	0	1	0	2.8	4.900820428089049	10.7269795	106.6312249	1	1064.4884618789088	19.70188092063192
680	1.8562979903656263	4.007333185232471	3.0	3.0	1	0	1	0	1.0	4.007333185232471	10.7893532	106.6751898	1	1057.7704403703867	11.455092891657253
681	1.3862943611198906	5.393627546352362	5.0	6.0	0	0	1	1	50.6	9.317579122645782	10.7589275	106.4383511	1	1060.2598234443872	36.32791665632852
682	1.1314021114911006	4.499809670330265	2.0	2.0	0	0	1	1	1.0	4.499809670330265	10.8837163	106.6417039	1	1047.1244486145176	12.935812622458531
683	1.9459101490553132	3.713572066704308	3.0	2.0	0	0	1	0	3.0	4.812184355372417	10.7678486	106.6719642	1	1060.1428975424546	13.341432557042085
684	1.547562508716013	3.4965075614664802	3.0	3.0	0	0	1	0	3.0	4.59511985013459	10.8255432	106.6844184	1	1053.7978441736066	8.496170676560832
685	1.6770965609079151	3.784189633918261	3.0	3.0	0	0	0	0	3.0	4.882801922586371	10.8452692	106.6570367	1	1051.469142894417	10.898587790516556
686	1.7404661748405046	4.605170185988092	5.0	4.0	0	0	0	1	3.0	5.703782474656201	10.9576308	106.7997581	1	1039.804200979435	12.400361794395977
687	2.151762203259462	4.1588830833596715	4.8	5.0	0	0	0	0	4.0	5.545177444479562	10.8089584	106.6861357	1	1055.6488065121114	9.196667901978055
688	1.5686159179138452	3.9512437185814275	3.0	3.0	0	0	1	0	3.0	5.049856007249537	10.8683591	106.6441514	1	1048.8420904383656	12.35175664723914
689	2.2300144001592104	4.736198448394496	5.0	5.0	1	0	0	0	3.0	5.834810737062605	10.8035671	106.7016083	1	1056.3289892870212	8.24290774926854
690	0.4054651081081644	3.784189633918261	2.0	2.0	0	0	0	0	2.0	4.477336814478207	10.7789127	106.6795992	1	1058.9524807858256	11.878404864196801
